,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Kimble County, Texas",,"2,064",191,196,171,155,98,105,116,104,57,216,184,226,47,73,65,60
"King County, Texas",,127,6,4,14,5,6,8,5,7,2,9,16,19,8,6,5,7
"Kinney County, Texas",,"1,157",127,118,101,74,113,48,105,41,41,56,128,140,21,36,8,0
"Kleberg County, Texas",,"11,059","1,554",815,752,667,508,650,811,312,429,872,995,"1,129",578,414,319,254
"Knox County, Texas",,"1,528",126,149,119,151,68,105,62,91,91,152,143,139,63,41,23,5
"Lamar County, Texas",,"18,965","1,860","1,533","1,185","1,196","1,194","1,147","1,119",931,846,"1,703","1,860","1,921","1,139",527,401,403
"Lamb County, Texas",,"4,784",431,425,318,413,343,277,302,267,262,377,452,318,184,168,117,130
"Lampasas County, Texas",,"7,409",435,256,415,519,400,521,465,298,518,542,674,895,567,278,445,181
"La Salle County, Texas",,"1,860",294,156,124,68,112,145,146,135,187,50,102,99,71,28,90,53
"Lavaca County, Texas",,"7,751",365,548,526,573,425,598,358,422,378,650,687,889,443,433,257,199
"Lee County, Texas",,"5,967",344,363,418,249,369,361,229,345,178,580,474,899,474,294,193,197
"Leon County, Texas",,"6,170",477,344,332,415,511,225,205,392,280,500,443,917,429,163,299,238
"Liberty County, Texas",,"25,088","1,955","1,571","1,816","1,561","1,140","1,405","1,330","1,267",931,"2,286","2,569","2,817","1,809","1,296",806,529
"Limestone County, Texas",,"8,183",615,633,528,562,568,598,656,387,317,641,756,784,571,231,227,109
"Lipscomb County, Texas",,"1,173",50,71,43,48,90,37,47,50,42,91,158,159,100,74,65,48
"Live Oak County, Texas",,"3,738",197,255,318,282,201,226,254,154,75,429,380,354,241,172,150,50
"Llano County, Texas",,"8,651",650,610,759,555,571,500,300,366,291,613,772,903,715,265,336,445
"Loving County, Texas",,33,0,6,5,4,0,0,0,1,0,0,6,8,1,0,2,0
"Lubbock County, Texas",,"106,885","10,178","6,457","6,472","6,835","6,881","5,755","5,441","4,741","5,492","9,394","9,210","11,570","7,155","3,618","3,797","3,889"
"Lynn County, Texas",,"2,158",210,137,104,138,178,136,131,108,115,135,175,232,146,94,47,72
"McCulloch County, Texas",,"3,055",199,271,164,285,113,229,228,200,60,333,250,321,201,94,59,48
"McLennan County, Texas",,"85,893","8,973","5,689","5,999","5,346","5,048","5,806","4,220","3,806","3,733","6,405","7,736","9,768","5,541","3,083","2,632","2,108"
"McMullen County, Texas",,251,18,14,1,27,37,13,11,4,12,11,39,40,13,0,2,9
"Madison County, Texas",,"3,839",245,330,312,225,289,241,242,289,220,217,346,384,185,145,118,51
"Marion County, Texas",,"4,439",694,317,354,291,328,261,212,199,184,345,424,363,209,90,47,121
"Martin County, Texas",,"1,563",103,84,54,82,66,151,75,64,90,97,103,206,114,77,84,113
"Mason County, Texas",,"1,678",116,132,65,102,97,83,190,45,81,146,171,151,90,47,96,66
"Matagorda County, Texas",,"13,143","1,469","1,049",857,864,845,957,489,494,683,"1,100",963,956,"1,089",546,492,290
"Maverick County, Texas",,"16,091","2,237","1,316","1,635","1,399",787,"1,184",822,635,546,"1,278","1,105","1,532",710,390,292,223
"Medina County, Texas",,"15,221","1,000",783,779,925,729,696,632,477,640,"1,413","1,647","2,446","1,169",657,789,439
"Menard County, Texas",,886,119,49,82,76,77,48,57,60,23,57,41,104,35,17,19,22
"Midland County, Texas",,"51,609","2,034","1,995","2,178","2,230","2,081","2,629","2,115","2,265","1,663","4,148","5,238","7,081","4,884","3,281","3,465","4,322"
"Milam County, Texas",,"9,279",795,924,722,746,631,494,578,410,345,665,815,830,695,249,142,238
"Mills County, Texas",,"1,798",211,119,146,72,118,114,38,98,111,125,207,212,81,48,42,56
"Mitchell County, Texas",,"2,690",130,174,147,245,145,196,188,112,152,244,298,224,218,131,51,35
"Montague County, Texas",,"8,090",606,510,518,667,450,335,273,563,572,661,776,775,557,323,294,210
"Montgomery County, Texas",,"168,279","7,441","6,073","7,144","7,340","7,424","7,198","7,235","6,999","5,976","11,171","16,855","23,189","15,539","10,131","12,921","15,643"
"Moore County, Texas",,"6,836",390,273,307,327,584,435,416,451,312,829,760,767,498,155,236,96
"Morris County, Texas",,"4,967",468,376,358,281,436,266,338,262,274,447,444,382,370,24,168,73
"Motley County, Texas",,462,30,44,45,22,47,44,32,33,13,21,31,40,25,17,15,3
"Nacogdoches County, Texas",,"23,708","3,136","2,007","1,479","1,578","1,311","1,207","1,359","1,110","1,008","1,849","2,423","2,262","1,373",731,419,456
"Navarro County, Texas",,"17,660","1,755",930,"1,271","1,170","1,180","1,072","1,194","1,053",762,"1,433","1,780","1,622","1,198",563,358,319
"Newton County, Texas",,"4,823",354,333,545,340,311,403,259,199,333,354,348,538,256,47,87,116
"Nolan County, Texas",,"5,449",571,395,345,359,521,318,478,272,171,396,408,542,348,136,98,91
"Nueces County, Texas",,"125,458","10,024","7,231","6,780","7,534","7,473","7,046","6,521","5,933","4,708","10,084","12,672","14,703","10,692","5,493","4,701","3,863"
"Ochiltree County, Texas",,"3,770",152,308,223,245,184,236,149,228,61,431,338,539,315,194,86,81
"Oldham County, Texas",,643,48,54,55,41,10,31,21,42,12,35,65,58,42,37,60,32
"Orange County, Texas",,"31,373","2,206","2,182","1,855","1,581","1,546","1,798","1,801","1,654","1,366","2,776","3,015","4,071","2,124","1,254","1,396",748
"Palo Pinto County, Texas",,"10,413",909,913,590,537,708,830,605,553,313,778,"1,000",988,828,381,159,321
"Panola County, Texas",,"8,979",826,395,516,409,313,335,598,419,446,833,"1,140","1,063",730,413,325,218
"Parker County, Texas",,"42,887","2,279","1,484","1,854","1,736","1,682","2,274","2,050","1,576","1,788","3,019","4,081","6,052","4,299","3,028","3,190","2,495"
"Parmer County, Texas",,"3,278",199,147,168,202,207,227,172,283,129,325,332,403,253,101,63,67
"Pecos County, Texas",,"4,546",362,299,389,216,202,172,182,245,231,358,471,483,448,263,178,47
"Polk County, Texas",,"17,195","1,406","1,103","1,423","1,215","1,449","1,090","1,030",811,788,"1,404","1,679","1,748",933,405,380,331
"Potter County, Texas",,"43,002","3,977","3,464","3,235","3,214","2,985","3,305","2,189","2,291","2,060","3,699","3,626","3,878","2,132","1,135","1,039",773
"Presidio County, Texas",,"2,646",379,273,266,212,158,146,184,95,117,115,253,230,115,40,55,8
"Rains County, Texas",,"4,188",248,230,398,253,265,144,226,281,171,487,480,420,259,157,120,49
"Randall County, Texas",,"48,942","2,510","2,108","2,276","2,279","2,275","2,348","1,970","2,413","1,829","3,986","5,537","7,130","4,876","3,069","2,466","1,870"
"Reagan County, Texas",,"1,200",57,145,26,84,40,5,63,93,26,102,105,210,96,80,17,51
"Real County, Texas",,"1,208",91,51,74,152,105,89,71,74,64,125,49,152,75,7,26,3
"Red River County, Texas",,"5,144",582,551,575,439,311,379,228,252,232,330,484,336,183,126,51,85
"Reeves County, Texas",,"3,705",451,359,248,110,299,113,108,166,132,348,423,458,218,80,109,83
"Refugio County, Texas",,"2,771",214,194,151,207,131,148,209,140,123,218,239,331,231,76,79,80
"Roberts County, Texas",,348,3,8,22,10,27,4,12,14,3,28,51,63,37,11,33,22
"Robertson County, Texas",,"6,002",740,433,493,327,265,259,302,240,380,435,574,746,355,181,177,95
"Rockwall County, Texas",,"27,733",743,872,636,808,681,675,759,"1,193",851,"1,907","2,698","4,476","3,691","2,385","3,088","2,270"
"Runnels County, Texas",,"3,739",302,245,461,321,233,136,231,153,223,320,239,443,273,63,38,58
"Rusk County, Texas",,"17,794","1,176","1,171","1,301","1,230",757,"1,057","1,071",813,892,"1,444","1,845","1,966","1,245",730,547,549
"Sabine County, Texas",,"3,965",543,206,374,342,292,288,317,213,115,209,388,386,135,13,70,74
"San Augustine County, Texas",,"3,117",472,220,411,231,257,142,117,145,304,206,258,78,78,77,68,53
"San Jacinto County, Texas",,"9,285",902,575,484,425,620,436,581,484,325,914,727,"1,106",663,505,182,356
"San Patricio County, Texas",,"22,621","1,448","1,325","1,386","1,057","1,173","1,283","1,296",927,962,"2,096","2,264","3,049","1,915",949,892,599
"San Saba County, Texas",,"2,098",212,170,146,135,169,117,189,146,76,168,231,156,87,20,40,36
"Schleicher County, Texas",,"1,028",165,93,38,58,62,14,33,55,16,59,112,139,85,27,33,39
"Scurry County, Texas",,"5,894",302,278,410,257,237,429,336,312,325,575,509,702,449,284,291,198
"Shackelford County, Texas",,"1,360",131,120,73,71,85,44,57,44,43,136,198,145,93,58,17,45
"Shelby County, Texas",,"9,564","1,026",619,848,784,632,663,685,444,330,627,811,924,373,251,275,272
"Sherman County, Texas",,"1,007",52,47,50,50,66,32,104,71,39,89,93,88,82,72,31,41
"Smith County, Texas",,"79,089","5,779","4,650","4,911","5,117","5,309","4,620","3,845","4,185","3,154","6,116","7,706","9,456","5,615","3,298","2,533","2,795"
"Somervell County, Texas",,"3,265",230,210,165,162,100,124,208,224,170,338,213,530,239,97,69,186
"Starr County, Texas",,"16,073","2,559","1,929","1,883","1,452","1,204","1,024",625,613,403,998,935,"1,190",590,281,273,114
"Stephens County, Texas",,"3,469",331,247,224,224,209,234,149,227,136,344,281,443,216,67,83,54
"Sterling County, Texas",,475,33,47,26,46,29,18,9,15,9,75,84,26,39,7,2,10
"Stonewall County, Texas",,588,57,63,37,19,25,11,43,46,18,75,33,85,18,17,11,30
"Sutton County, Texas",,"1,458",71,81,98,87,116,40,80,45,141,152,131,133,172,26,30,55
"Swisher County, Texas",,"2,664",248,222,329,151,133,158,117,167,101,209,272,243,188,73,27,26
"Tarrant County, Texas",,"667,362","39,161","30,044","32,003","33,557","31,511","34,354","30,342","31,568","26,634","56,110","70,622","85,097","59,704","35,544","36,677","34,434"
"Taylor County, Texas",,"49,482","4,018","3,363","3,064","2,817","3,227","3,034","2,829","2,554","2,260","4,362","5,002","5,267","3,178","1,707","1,639","1,161"
"Terrell County, Texas",,407,34,45,20,31,32,23,16,26,24,7,21,56,43,11,9,9
"Terry County, Texas",,"3,985",242,235,202,329,250,401,357,279,99,407,346,346,185,103,81,123
"Throckmorton County, Texas",,722,55,38,71,67,26,46,45,52,35,90,39,56,51,17,19,15
"Titus County, Texas",,"10,532",746,549,727,827,653,834,664,471,570,916,"1,095","1,043",536,416,320,165
"Tom Green County, Texas",,"42,361","2,987","2,939","3,064","2,382","2,789","2,547","2,084","2,345","1,767","3,307","4,440","5,262","2,762","1,409","1,095","1,182"
"Travis County, Texas",,"419,496","29,746","17,954","17,762","19,804","17,919","20,093","19,624","20,056","16,781","31,036","41,907","50,570","37,272","21,853","24,707","32,412"
"Trinity County, Texas",,"5,078",466,409,518,335,426,370,333,246,308,498,252,307,246,156,149,59
"Tyler County, Texas",,"8,154",725,486,430,867,401,451,466,579,378,563,843,852,547,312,186,68
"Upshur County, Texas",,"14,219","1,100",846,722,786,666,967,949,808,651,"1,030","1,679","1,782","1,112",449,314,358
"Upton County, Texas",,"1,183",127,50,55,61,84,102,57,23,27,79,92,168,105,69,52,32
"Uvalde County, Texas",,"8,622",878,710,748,548,694,526,438,341,268,697,927,905,527,141,116,158
"Val Verde County, Texas",,"15,055","1,515","1,122",997,816,711,826,924,969,654,"1,283","1,290","1,617","1,289",400,374,268
"Van Zandt County, Texas",,"18,903","1,486","1,241","1,363","1,475","1,043","1,114","1,139","1,068",807,"1,436","2,017","2,090","1,092",552,580,400
"Victoria County, Texas",,"32,207","2,118","1,763","2,075","1,910","1,848","1,556","1,610","1,640","1,385","2,692","3,172","3,943","2,708","1,519","1,277",991
"Walker County, Texas",,"20,681","2,940","1,798",832,"1,296","1,237","1,458","1,055",863,561,"1,626","1,738","2,226","1,639",572,475,365
"Waller County, Texas",,"13,655","1,136",529,805,788,725,763,727,687,601,829,"1,794","1,364","1,155",724,560,468
"Ward County, Texas",,"3,916",421,290,298,206,279,180,120,149,74,355,234,620,318,136,103,133
"Washington County, Texas",,"11,917",935,647,718,566,736,671,586,633,527,"1,007","1,258","1,715",770,387,475,286
"Webb County, Texas",,"68,502","8,855","5,158","5,271","4,112","4,051","4,012","3,791","3,531","3,045","5,646","5,654","6,214","3,924","2,220","1,692","1,326"
"Wharton County, Texas",,"14,492","1,244","1,332","1,015","1,006",894,615,811,616,562,"1,372","1,449","1,488",900,551,386,251
"Wheeler County, Texas",,"2,281",82,127,131,132,97,93,102,203,53,230,256,315,172,112,109,67
"Wichita County, Texas",,"47,818","3,436","3,584","2,718","3,155","2,634","2,975","2,786","2,692","2,112","4,659","4,537","5,524","2,907","1,793","1,205","1,101"
"Wilbarger County, Texas",,"5,253",404,542,311,297,430,322,211,270,295,392,647,643,228,111,128,22
"Willacy County, Texas",,"5,461","1,234",500,558,257,359,238,291,226,241,284,495,260,279,148,64,27
"Williamson County, Texas",,"158,283","5,312","3,599","4,755","5,350","5,913","6,170","6,434","7,015","6,264","13,503","18,133","25,037","18,358","12,189","11,549","8,702"
"Wilson County, Texas",,"15,598",666,741,742,624,648,602,608,613,626,"1,265","1,872","2,275","1,571","1,224",942,579
"Winkler County, Texas",,"2,659",168,110,115,127,251,124,143,52,156,251,360,283,262,145,67,45
"Wise County, Texas",,"20,694","1,007",577,860,"1,209",943,"1,060",941,"1,288",950,"1,978","2,193","2,937","1,988","1,079",975,709
"Wood County, Texas",,"16,076","1,092",915,911,"1,144","1,194",969,924,"1,011",921,"1,425","1,586","1,786",837,570,382,409
"Yoakum County, Texas",,"2,594",180,65,185,129,144,130,142,143,178,121,286,287,299,107,114,84
"Young County, Texas",,"7,268",527,492,504,463,619,548,392,298,220,426,751,761,529,272,303,163
"Zapata County, Texas",,"4,424",649,439,440,181,456,281,264,158,169,216,305,317,325,95,61,68
"Zavala County, Texas",,"3,556",774,336,347,248,156,210,212,208,127,263,187,162,208,48,25,45
"Beaver County, Utah",,"2,163",175,85,116,224,88,73,69,121,119,181,243,286,218,105,34,26
"Box Elder County, Utah",,"16,223",688,547,647,704,892,840,979,821,752,"1,643","2,160","2,604","1,334",789,507,316
"Cache County, Utah",,"35,505","1,895","1,671","1,912","2,226","2,355","2,055","1,889","1,932","1,672","3,458","4,148","4,380","2,701","1,415",924,872
"Carbon County, Utah",,"7,834",589,615,582,507,446,440,294,350,297,728,936,"1,048",566,216,194,26
"Daggett County, Utah",,276,20,19,21,5,7,37,14,8,13,34,21,34,22,6,9,6
"Davis County, Utah",,"96,711","3,426","2,609","2,812","3,012","3,481","3,459","3,793","3,726","4,303","8,996","12,470","16,478","11,128","6,837","5,893","4,288"
"Duchesne County, Utah",,"6,738",275,356,345,331,293,253,291,338,271,555,962,"1,047",679,316,265,161
"Emery County, Utah",,"3,628",172,120,109,171,235,215,224,217,316,359,447,553,303,93,68,26
"Garfield County, Utah",,"1,815",152,95,105,112,100,82,135,130,91,197,233,160,129,46,17,31
"Grand County, Utah",,"3,822",342,221,187,279,118,328,212,259,288,296,421,468,195,89,49,70
"Iron County, Utah",,"15,135","1,130","1,414","1,088",986,846,"1,105",721,735,722,"1,175","1,946","1,577",640,491,307,252
"Juab County, Utah",,"3,066",154,138,163,148,115,144,101,151,129,504,392,494,207,87,93,46
"Kane County, Utah",,"2,925",113,135,117,231,234,171,80,195,138,291,431,450,138,65,69,67
"Millard County, Utah",,"4,210",312,127,214,175,292,314,221,147,240,458,506,462,490,108,124,20
"Morgan County, Utah",,"2,941",23,69,48,67,87,108,154,92,136,273,340,429,519,205,136,255
"Piute County, Utah",,557,53,64,48,58,48,18,23,29,22,36,62,62,11,15,7,1
"Rich County, Utah",,627,22,30,52,47,22,58,24,21,32,41,65,129,35,19,14,16
"Salt Lake County, Utah",,"348,110","17,340","13,192","14,732","16,036","15,311","16,134","15,456","15,666","14,728","30,577","41,636","51,599","32,020","19,452","17,685","16,546"
"San Juan County, Utah",,"4,038",680,281,249,206,195,208,130,243,174,298,336,498,242,137,127,34
"Sanpete County, Utah",,"7,945",401,466,420,453,563,471,540,441,349,822,827,990,574,202,224,202
"Sevier County, Utah",,"7,112",561,430,512,434,307,342,421,437,400,702,885,859,444,227,79,72
"Summit County, Utah",,"13,425",506,290,247,430,219,454,456,296,457,"1,174","1,090","1,762","1,418","1,104","1,268","2,254"
"Tooele County, Utah",,"18,400",851,486,559,671,708,852,821,704,987,"2,051","2,537","2,980","1,974","1,234",624,361
"Uintah County, Utah",,"11,048",715,439,433,467,363,430,609,400,311,"1,082","1,468","1,874","1,274",407,352,424
"Utah County, Utah",,"145,469","6,699","5,596","6,013","6,665","6,299","6,693","6,432","7,185","6,887","13,130","18,044","22,213","14,029","7,729","6,798","5,057"
"Wasatch County, Utah",,"7,752",369,266,244,226,308,253,201,324,375,862,986,"1,195",864,398,452,429
"Washington County, Utah",,"47,905","2,944","2,137","2,566","2,751","2,913","2,784","2,891","2,885","2,328","4,631","5,432","6,111","3,308","1,439","1,498","1,287"
"Wayne County, Utah",,954,128,41,15,44,125,23,72,56,24,78,83,125,84,27,19,10
"Weber County, Utah",,"79,860","4,600","2,940","3,055","4,151","4,281","4,038","4,260","4,441","3,524","7,383","10,121","11,880","6,737","3,702","2,796","1,951"
"Addison County, Vermont",,"14,215",676,739,623,743,542,679,693,608,692,"1,211","1,662","2,351","1,345",625,516,510
"Bennington County, Vermont",,"15,477",893,937,823,942,919,946,803,844,741,"1,278","1,668","1,898","1,018",550,621,596
"Caledonia County, Vermont",,"12,398","1,019",693,746,883,787,725,676,653,819,949,"1,109","1,502",811,468,359,199
"Chittenden County, Vermont",,"63,086","3,385","3,155","2,375","2,668","2,485","2,794","2,809","2,842","2,406","4,795","6,139","9,145","6,760","3,915","3,785","3,628"
"Essex County, Vermont",,"2,752",208,238,272,222,225,189,176,149,112,197,332,238,101,44,21,28
"Franklin County, Vermont",,"18,751",879,"1,118","1,005",841,833,960,821,692,"1,002","1,695","2,180","2,734","1,760","1,014",701,516
"Grand Isle County, Vermont",,"2,981",132,119,120,159,91,130,110,153,149,267,401,381,299,117,180,173
"Lamoille County, Vermont",,"10,121",649,616,592,546,661,515,525,453,449,787,"1,278","1,179",821,406,332,312
"Orange County, Vermont",,"12,135",641,537,737,604,573,626,681,617,612,"1,095","1,653","1,546",962,489,485,277
"Orleans County, Vermont",,"11,214",801,867,934,777,783,730,561,526,462,"1,056","1,267","1,157",607,224,263,199
"Rutland County, Vermont",,"25,635","1,684","1,515","1,744","1,442","1,513","1,397","1,399","1,290","1,243","2,143","2,876","3,402","1,842",780,847,518
"Washington County, Vermont",,"24,704","1,433","1,334","1,080","1,117","1,081","1,265",943,"1,276",957,"2,107","3,019","3,612","2,347","1,208","1,105",820
"Windham County, Vermont",,"19,223","1,076","1,153","1,128",998,"1,177","1,128","1,033",969,864,"1,751","2,083","2,847","1,239",616,729,432
"Windsor County, Vermont",,"24,560","1,437","1,590","1,406","1,015","1,320","1,275","1,196","1,098","1,042","2,115","2,597","3,439","1,873","1,129","1,077",951
"Accomack County, Virginia",,"14,289","1,680",941,"1,112",959,"1,068",680,791,793,757,970,"1,306","1,330",863,395,328,316
