,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Person County, North Carolina",,"39,464","27,792","10,717",309,132,4,510
"Pitt County, North Carolina",,"168,148","103,481","57,928",826,"2,800",223,"2,890"
"Polk County, North Carolina",,"20,510","19,144",926,91,88,2,259
"Randolph County, North Carolina",,"141,752","128,373","8,446","1,467","1,499",73,"1,894"
"Richmond County, North Carolina",,"46,639","29,480","14,438","1,352",443,56,870
"Robeson County, North Carolina",,"134,168","44,133","33,032","52,791","1,047",149,"3,016"
"Rockingham County, North Carolina",,"93,643","73,404","17,833",451,449,79,"1,427"
"Rowan County, North Carolina",,"138,428","111,469","22,915",721,"1,413",75,"1,835"
"Rutherford County, North Carolina",,"67,810","59,269","6,922",193,303,28,"1,095"
"Sampson County, North Carolina",,"63,431","42,484","17,596","1,943",305,111,992
"Scotland County, North Carolina",,"36,157","17,085","14,024","4,039",278,12,719
"Stanly County, North Carolina",,"60,585","51,724","6,701",203,"1,141",168,648
"Stokes County, North Carolina",,"47,401","44,631","1,945",183,130,9,503
"Surry County, North Carolina",,"73,673","69,137","2,949",358,395,52,782
"Swain County, North Carolina",,"13,981","9,408",80,"3,850",68,4,571
"Transylvania County, North Carolina",,"33,090","30,987","1,304",116,150,13,520
"Tyrrell County, North Carolina",,"4,407","2,540","1,702",30,80,1,54
"Union County, North Carolina",,"201,292","169,276","24,162","1,236","3,392",123,"3,103"
"Vance County, North Carolina",,"45,422","21,438","22,915",302,211,11,545
"Wake County, North Carolina",,"900,993","632,850","191,095","7,633","49,576",630,"19,209"
"Warren County, North Carolina",,"20,972","8,453","11,032","1,115",57,4,311
"Washington County, North Carolina",,"13,228","6,312","6,646",62,39,1,168
"Watauga County, North Carolina",,"51,079","48,874",910,135,487,14,659
"Wayne County, North Carolina",,"122,623","78,639","39,112",864,"1,488",140,"2,380"
"Wilkes County, North Carolina",,"69,340","65,067","2,920",213,304,36,800
"Wilson County, North Carolina",,"81,234","46,909","32,161",382,706,47,"1,029"
"Yadkin County, North Carolina",,"38,406","36,488","1,232",208,93,45,340
"Yancey County, North Carolina",,"17,818","17,326",162,104,34,41,151
"Adams County, North Dakota",,"2,343","2,283",8,16,9,2,25
"Barnes County, North Dakota",,"11,066","10,695",87,76,60,3,145
"Benson County, North Dakota",,"6,660","2,898",1,"3,666",3,1,91
"Billings County, North Dakota",,783,773,2,3,4,0,1
"Bottineau County, North Dakota",,"6,429","6,136",25,138,18,1,111
"Bowman County, North Dakota",,"3,151","3,096",3,36,2,0,14
"Burke County, North Dakota",,"1,968","1,924",4,15,14,0,11
"Burleigh County, North Dakota",,"81,308","75,864",497,"3,440",400,27,"1,080"
"Cass County, North Dakota",,"149,778","138,194","3,575","1,866","3,572",54,"2,517"
"Cavalier County, North Dakota",,"3,993","3,916",4,37,9,1,26
"Dickey County, North Dakota",,"5,289","5,119",45,38,23,1,63
"Divide County, North Dakota",,"2,071","2,032",5,11,7,0,16
"Dunn County, North Dakota",,"3,536","3,007",8,450,11,0,60
"Eddy County, North Dakota",,"2,385","2,291",4,58,6,2,24
"Emmons County, North Dakota",,"3,550","3,502",2,14,6,0,26
"Foster County, North Dakota",,"3,343","3,298",4,20,3,0,18
"Golden Valley County, North Dakota",,"1,680","1,645",10,12,1,2,10
"Grand Forks County, North Dakota",,"66,861","60,932","1,397","1,685","1,308",41,"1,498"
"Grant County, North Dakota",,"2,394","2,331",1,27,3,0,32
"Griggs County, North Dakota",,"2,420","2,397",7,8,5,0,3
"Hettinger County, North Dakota",,"2,477","2,383",6,52,1,3,32
"Kidder County, North Dakota",,"2,435","2,383",6,18,22,0,6
"LaMoure County, North Dakota",,"4,139","4,085",6,17,6,0,25
"Logan County, North Dakota",,"1,990","1,965",2,9,5,0,9
"McHenry County, North Dakota",,"5,395","5,289",8,34,17,0,47
"McIntosh County, North Dakota",,"2,809","2,763",6,12,11,0,17
"McKenzie County, North Dakota",,"6,360","4,818",8,"1,417",19,2,96
"McLean County, North Dakota",,"8,962","8,176",8,630,12,2,134
"Mercer County, North Dakota",,"8,424","8,085",18,199,27,12,83
"Morton County, North Dakota",,"27,471","25,837",123,"1,023",54,24,410
"Mountrail County, North Dakota",,"7,673","5,070",21,"2,382",15,1,184
"Nelson County, North Dakota",,"3,126","3,043",9,30,7,1,36
"Oliver County, North Dakota",,"1,846","1,797",5,28,4,0,12
"Pembina County, North Dakota",,"7,413","7,136",21,146,13,2,95
"Pierce County, North Dakota",,"4,357","4,120",21,178,3,1,34
"Ramsey County, North Dakota",,"11,451","10,073",41,"1,004",45,5,283
"Ransom County, North Dakota",,"5,457","5,347",19,23,20,3,45
"Renville County, North Dakota",,"2,470","2,426",2,10,5,0,27
"Richland County, North Dakota",,"16,321","15,559",112,347,89,9,205
"Rolette County, North Dakota",,"13,937","2,832",21,"10,781",16,1,286
"Sargent County, North Dakota",,"3,829","3,763",3,20,11,4,28
"Sheridan County, North Dakota",,"1,321","1,284",4,14,2,2,15
"Sioux County, North Dakota",,"4,153",526,7,"3,497",4,2,117
"Slope County, North Dakota",,727,709,0,16,0,0,2
"Stark County, North Dakota",,"24,199","23,170",210,249,293,10,267
"Steele County, North Dakota",,"1,975","1,936",3,23,2,0,11
"Stutsman County, North Dakota",,"21,100","20,300",151,310,104,16,219
"Towner County, North Dakota",,"2,246","2,179",2,49,1,0,15
"Traill County, North Dakota",,"8,121","7,898",43,65,21,2,92
"Walsh County, North Dakota",,"11,119","10,752",29,182,36,4,116
"Ward County, North Dakota",,"61,675","56,209","1,573","1,651",619,87,"1,536"
"Wells County, North Dakota",,"4,207","4,161",3,13,4,1,25
"Williams County, North Dakota",,"22,398","20,729",68,903,80,5,613
"Adams County, Ohio",,"28,550","27,965",89,112,34,2,348
"Allen County, Ohio",,"106,331","89,929","12,806",234,776,19,"2,567"
"Ashland County, Ohio",,"53,139","51,832",400,97,282,43,485
"Ashtabula County, Ohio",,"101,497","95,178","3,681",293,400,33,"1,912"
"Athens County, Ohio",,"64,757","59,689","1,805",175,"1,762",17,"1,309"
"Auglaize County, Ohio",,"45,949","45,118",143,94,172,24,398
"Belmont County, Ohio",,"70,400","66,330","2,849",89,260,10,862
"Brown County, Ohio",,"44,846","43,845",385,77,110,3,426
"Butler County, Ohio",,"368,130","323,055","27,698",986,"9,070",367,"6,954"
"Carroll County, Ohio",,"28,836","28,270",146,80,59,2,279
"Champaign County, Ohio",,"40,097","38,165",910,149,157,13,703
"Clark County, Ohio",,"138,333","121,366","12,296",388,886,76,"3,321"
"Clermont County, Ohio",,"197,363","190,127","2,338",421,"1,952",67,"2,458"
"Clinton County, Ohio",,"42,040","40,024",944,104,215,17,736
"Columbiana County, Ohio",,"107,841","103,446","2,498",234,328,30,"1,305"
"Coshocton County, Ohio",,"36,901","35,903",399,81,103,6,409
"Crawford County, Ohio",,"43,784","42,734",382,63,158,9,438
"Cuyahoga County, Ohio",,"1,280,122","834,709","385,081","3,234","33,655",579,"22,864"
"Darke County, Ohio",,"52,959","51,998",244,84,162,7,464
"Defiance County, Ohio",,"39,037","37,494",789,133,126,12,483
"Delaware County, Ohio",,"174,214","157,465","5,927",302,"7,581",61,"2,878"
"Erie County, Ohio",,"77,079","67,683","6,719",245,473,24,"1,935"
"Fairfield County, Ohio",,"146,156","132,644","8,826",322,"1,668",62,"2,634"
"Fayette County, Ohio",,"29,030","27,714",614,70,163,9,460
"Franklin County, Ohio",,"1,163,414","829,894","251,032","3,854","46,014",931,"31,689"
"Fulton County, Ohio",,"42,698","41,745",203,149,191,7,403
"Gallia County, Ohio",,"30,934","29,382",820,119,142,2,469
"Geauga County, Ohio",,"93,389","90,782","1,214",80,568,11,734
"Greene County, Ohio",,"161,573","140,529","11,805",468,"4,785",101,"3,885"
"Guernsey County, Ohio",,"40,087","38,594",598,102,111,10,672
"Hamilton County, Ohio",,"802,374","559,668","207,431","2,092","16,551",790,"15,842"
"Hancock County, Ohio",,"74,782","70,983","1,236",206,"1,292",14,"1,051"
"Hardin County, Ohio",,"32,058","31,140",268,57,184,17,392
"Harrison County, Ohio",,"15,864","15,244",331,24,22,2,241
"Henry County, Ohio",,"28,215","27,637",125,110,114,2,227
"Highland County, Ohio",,"43,589","42,141",607,116,105,4,616
"Hocking County, Ohio",,"29,380","28,693",220,102,50,9,306
"Holmes County, Ohio",,"42,366","41,920",135,30,49,19,213
"Huron County, Ohio",,"59,626","57,776",665,133,198,16,838
"Jackson County, Ohio",,"33,225","32,358",195,120,110,12,430
"Jefferson County, Ohio",,"69,709","64,244","3,915",100,296,12,"1,142"
"Knox County, Ohio",,"60,921","59,241",505,126,354,16,679
"Lake County, Ohio",,"230,041","216,280","7,530",370,"2,688",45,"3,128"
"Lawrence County, Ohio",,"62,450","59,973","1,295",132,246,5,799
"Licking County, Ohio",,"166,492","156,000","5,767",489,"1,280",48,"2,908"
"Logan County, Ohio",,"45,858","43,891",755,116,246,16,834
"Lorain County, Ohio",,"301,356","262,831","26,852","1,057","2,937",160,"7,519"
"Lucas County, Ohio",,"441,815","336,066","85,383","1,718","6,978",172,"11,498"
"Madison County, Ohio",,"43,435","39,588","2,880",108,243,11,605
"Mahoning County, Ohio",,"238,823","193,944","38,300",560,"1,743",77,"4,199"
"Marion County, Ohio",,"66,501","61,066","3,865",146,350,40,"1,034"
"Medina County, Ohio",,"172,332","166,416","2,062",253,"1,700",19,"1,882"
"Meigs County, Ohio",,"23,770","23,200",211,54,52,1,252
"Mercer County, Ohio",,"40,814","39,999",117,107,186,73,332
"Miami County, Ohio",,"102,506","97,227","2,132",196,"1,252",16,"1,683"
"Monroe County, Ohio",,"14,642","14,381",61,18,20,2,160
"Montgomery County, Ohio",,"535,153","399,423","112,755","1,352","9,499",205,"11,919"
"Morgan County, Ohio",,"15,054","14,061",436,54,23,0,480
"Morrow County, Ohio",,"34,827","34,130",125,46,90,9,427
"Muskingum County, Ohio",,"86,074","80,212","3,331",191,293,18,"2,029"
"Noble County, Ohio",,"14,645","14,099",369,43,23,3,108
"Ottawa County, Ohio",,"41,428","40,449",343,72,118,7,439
"Paulding County, Ohio",,"19,614","19,052",188,74,43,4,253
"Perry County, Ohio",,"36,058","35,367",102,91,40,9,449
"Pickaway County, Ohio",,"55,698","52,824","1,896",109,217,11,641
"Pike County, Ohio",,"28,709","27,779",259,151,55,4,461
"Portage County, Ohio",,"161,419","149,460","6,746",305,"2,347",44,"2,517"
"Preble County, Ohio",,"42,270","41,352",185,98,174,3,458
"Putnam County, Ohio",,"34,499","33,991",141,108,83,5,171
"Richland County, Ohio",,"124,475","109,340","11,780",250,830,37,"2,238"
"Ross County, Ohio",,"78,064","71,053","4,881",232,310,9,"1,579"
"Sandusky County, Ohio",,"60,944","57,593","1,775",187,200,7,"1,182"
"Scioto County, Ohio",,"79,499","75,333","2,166",440,254,10,"1,296"
"Seneca County, Ohio",,"56,745","53,995","1,376",123,330,17,904
"Shelby County, Ohio",,"49,423","47,077",951,85,435,50,825
"Stark County, Ohio",,"375,586","334,894","28,876","1,072","2,818",95,"7,831"
"Summit County, Ohio",,"541,781","438,957","78,789","1,078","12,048",145,"10,764"
"Trumbull County, Ohio",,"210,312","187,805","17,605",380,"1,012",43,"3,467"
"Tuscarawas County, Ohio",,"92,582","89,973",743,352,295,217,"1,002"
"Union County, Ohio",,"52,300","48,785","1,249",122,"1,453",19,672
"Van Wert County, Ohio",,"28,744","28,037",256,56,67,3,325
"Vinton County, Ohio",,"13,435","13,173",39,51,23,1,148
"Warren County, Ohio",,"212,693","193,857","7,077",367,"8,411",103,"2,878"
"Washington County, Ohio",,"61,778","59,735",684,139,348,16,856
"Wayne County, Ohio",,"114,520","110,175","1,748",207,886,31,"1,473"
"Williams County, Ohio",,"37,642","36,601",373,100,216,7,345
"Wood County, Ohio",,"125,488","118,243","3,089",321,"1,994",48,"1,793"
"Wyandot County, Ohio",,"22,615","22,183",44,39,149,4,196
"Adair County, Oklahoma",,"22,683","10,046",60,"10,149",130,1,"2,297"
"Alfalfa County, Oklahoma",,"5,642","5,116",232,172,15,1,106
"Atoka County, Oklahoma",,"14,182","10,583",533,"2,013",55,7,991
"Beaver County, Oklahoma",,"5,636","5,384",45,83,11,0,113
"Beckham County, Oklahoma",,"22,119","19,809",902,691,201,2,514
"Blaine County, Oklahoma",,"11,943","10,173",336,"1,016",34,7,377
"Bryan County, Oklahoma",,"42,416","32,967",677,"5,589",222,12,"2,949"
"Caddo County, Oklahoma",,"29,600","19,403",832,"7,564",74,17,"1,710"
"Canadian County, Oklahoma",,"115,541","98,806","3,050","5,790","3,542",76,"4,277"
"Carter County, Oklahoma",,"47,557","36,374","3,286","4,386",525,30,"2,956"
"Cherokee County, Oklahoma",,"46,987","25,593",615,"16,260",297,19,"4,203"
"Choctaw County, Oklahoma",,"15,205","9,988","1,659","2,533",45,1,979
"Cimarron County, Oklahoma",,"2,475","2,404",6,22,8,0,35
"Cleveland County, Oklahoma",,"255,755","208,836","11,160","12,447","9,851",232,"13,229"
"Coal County, Oklahoma",,"5,925","4,428",29,"1,004",10,0,454
"Comanche County, Oklahoma",,"124,098","83,257","22,269","7,724","2,920",736,"7,192"
"Cotton County, Oklahoma",,"6,193","5,102",132,611,13,13,322
"Craig County, Oklahoma",,"15,029","10,107",459,"3,082",105,17,"1,259"
"Creek County, Oklahoma",,"69,967","56,470","1,555","7,142",234,49,"4,517"
"Custer County, Oklahoma",,"27,469","23,524",869,"1,865",284,16,911
"Delaware County, Oklahoma",,"41,487","28,218",99,"9,396",521,32,"3,221"
"Dewey County, Oklahoma",,"4,810","4,328",16,278,33,0,155
"Ellis County, Oklahoma",,"4,151","4,012",11,69,8,0,51
"Garfield County, Oklahoma",,"60,580","53,471","1,883","1,587",631,"1,123","1,885"
"Garvin County, Oklahoma",,"27,576","23,196",730,"2,211",114,24,"1,301"
"Grady County, Oklahoma",,"52,431","45,746","1,297","2,964",201,36,"2,187"
"Grant County, Oklahoma",,"4,527","4,279",35,95,10,1,107
"Greer County, Oklahoma",,"6,239","5,409",445,194,15,6,170
"Harmon County, Oklahoma",,"2,922","2,543",218,48,13,0,100
"Harper County, Oklahoma",,"3,685","3,576",3,41,6,8,51
"Haskell County, Oklahoma",,"12,769","9,685",63,"2,051",74,2,894
"Hughes County, Oklahoma",,"14,003","9,718",748,"2,595",30,6,906
"Jackson County, Oklahoma",,"26,446","22,290","2,118",650,344,64,980
"Jefferson County, Oklahoma",,"6,472","5,718",43,422,22,1,266
"Johnston County, Oklahoma",,"10,957","8,146",217,"1,738",27,1,828
"Kay County, Oklahoma",,"46,562","38,447","1,002","4,652",251,32,"2,178"
"Kingfisher County, Oklahoma",,"15,034","13,920",186,509,45,0,374
"Kiowa County, Oklahoma",,"9,446","8,003",423,667,30,4,319
"Latimer County, Oklahoma",,"11,154","7,871",85,"2,304",31,1,862
"Le Flore County, Oklahoma",,"50,384","39,803","1,053","6,368",276,64,"2,820"
"Lincoln County, Oklahoma",,"34,273","29,665",621,"2,244",65,12,"1,666"
"Logan County, Oklahoma",,"41,848","34,733","3,876","1,399",210,27,"1,603"
"Love County, Oklahoma",,"9,423","8,122",177,654,45,0,425
"McClain County, Oklahoma",,"34,506","30,149",243,"2,263",127,11,"1,713"
"McCurtain County, Oklahoma",,"33,151","22,922","2,913","5,200",113,4,"1,999"
"McIntosh County, Oklahoma",,"20,252","14,330",651,"3,770",68,7,"1,426"
"Major County, Oklahoma",,"7,527","7,119",41,165,26,8,168
"Marshall County, Oklahoma",,"15,840","13,036",268,"1,608",31,7,890
"Mayes County, Oklahoma",,"41,259","28,325",171,"8,913",147,19,"3,684"
"Murray County, Oklahoma",,"13,488","10,750",180,"1,685",48,9,816
"Muskogee County, Oklahoma",,"70,990","43,920","8,148","12,805",408,57,"5,652"
"Noble County, Oklahoma",,"11,561","9,849",205,"1,003",45,7,452
"Nowata County, Oklahoma",,"10,536","7,314",212,"2,037",7,3,963
"Okfuskee County, Oklahoma",,"12,191","7,939","1,012","2,436",21,22,761
"Oklahoma County, Oklahoma",,"718,633","518,154","113,540","29,269","22,201","1,166","34,303"
"Okmulgee County, Oklahoma",,"40,069","26,677","3,545","6,580",137,8,"3,122"
"Osage County, Oklahoma",,"47,472","31,645","5,442","6,938",140,11,"3,296"
"Ottawa County, Oklahoma",,"31,848","22,619",259,"6,108",159,319,"2,384"
"Pawnee County, Oklahoma",,"16,577","13,483",122,"1,936",49,6,981
"Payne County, Oklahoma",,"77,350","64,184","2,858","3,699","2,730",49,"3,830"
"Pittsburg County, Oklahoma",,"45,837","34,222","1,557","6,484",200,22,"3,352"
"Pontotoc County, Oklahoma",,"37,492","27,050",913,"6,624",251,17,"2,637"
"Pottawatomie County, Oklahoma",,"69,442","53,611","2,054","9,119",403,50,"4,205"
"Pushmataha County, Oklahoma",,"11,572","8,759",82,"2,055",26,5,645
"Roger Mills County, Oklahoma",,"3,647","3,322",13,225,11,2,74
"Rogers County, Oklahoma",,"86,905","66,552",905,"11,550",969,70,"6,859"
"Seminole County, Oklahoma",,"25,482","17,708","1,177","4,719",68,19,"1,791"
"Sequoyah County, Oklahoma",,"42,391","28,601",748,"8,920",218,25,"3,879"
"Stephens County, Oklahoma",,"45,048","39,512",905,"2,370",234,17,"2,010"
"Texas County, Oklahoma",,"20,640","19,043",395,401,368,77,356
"Tillman County, Oklahoma",,"7,992","6,743",646,319,25,11,248
"Tulsa County, Oklahoma",,"603,403","449,992","66,323","39,088","14,487",581,"32,932"
"Wagoner County, Oklahoma",,"73,085","56,591","2,753","7,420","1,033",28,"5,260"
"Washington County, Oklahoma",,"50,976","40,796","1,261","5,371",569,17,"2,962"
"Washita County, Oklahoma",,"11,629","10,740",104,435,34,3,313
"Woods County, Oklahoma",,"8,878","8,048",297,226,77,4,226
"Woodward County, Oklahoma",,"20,081","18,536",334,644,118,13,436
"Baker County, Oregon",,"16,134","15,437",58,187,78,9,365
"Benton County, Oregon",,"85,579","76,484",824,743,"4,499",223,"2,806"
"Clackamas County, Oregon",,"375,992","343,154","3,420","4,006","13,954",974,"10,484"
"Clatsop County, Oregon",,"37,039","34,856",217,424,484,89,969
"Columbia County, Oregon",,"49,351","46,320",213,686,476,106,"1,550"
"Coos County, Oregon",,"63,043","57,753",278,"1,708",673,129,"2,502"
"Crook County, Oregon",,"20,978","20,099",41,324,108,11,395
"Curry County, Oregon",,"22,364","20,928",71,440,161,21,743
"Deschutes County, Oregon",,"157,733","150,039",599,"1,774","1,526",232,"3,563"
"Douglas County, Oregon",,"107,667","100,917",335,"2,033","1,079",130,"3,173"
"Gilliam County, Oregon",,"1,871","1,805",3,19,5,13,26
"Grant County, Oregon",,"7,445","7,135",15,94,24,8,169
"Harney County, Oregon",,"7,422","6,919",21,241,35,1,205
"Hood River County, Oregon",,"22,346","21,100",129,213,325,49,530
"Jackson County, Oregon",,"203,206","189,443","1,511","2,957","2,486",654,"6,155"
"Jefferson County, Oregon",,"21,720","16,839",185,"3,928",102,38,628
"Josephine County, Oregon",,"82,713","77,829",366,"1,226",716,151,"2,425"
